epoch,train_mse,val_mae,val_mse
1,0.002368865106254816,111.90036010742188,124.9765853881836
2,0.00197580034378916,52.13652420043945,64.291748046875
3,0.0019469633558765055,44.49042510986328,54.39344787597656
4,0.001994907883927226,42.460426330566406,54.8193473815918
5,0.001981182172894478,45.94689178466797,56.79156494140625
6,0.0019921141304075716,44.99335479736328,56.177494049072266
7,0.001970302639529109,53.65763854980469,64.09405517578125
8,0.001949122780933976,37.10210037231445,46.047237396240234
9,0.001892153499647975,37.034027099609375,45.17204284667969
10,0.0018246343405917288,64.90214538574219,74.81835174560547
11,0.001881717499345541,34.41429901123047,41.04190444946289
12,0.0018899587169289589,34.971961975097656,44.93594741821289
13,0.0018131666071712971,77.35698699951172,88.81079864501953
14,0.0017917915852740406,46.605804443359375,55.44680404663086
15,0.00171029067132622,37.19314193725586,44.6141471862793
16,0.0017303399555385112,41.40901565551758,53.5639762878418
17,0.001718644010834396,36.01314163208008,46.449092864990234
18,0.0016925861639901995,51.724273681640625,61.60797119140625
19,0.0017422033939510583,37.254634857177734,48.56974411010742
20,0.0017091295029968024,57.84479522705078,67.82369995117188
21,0.0016650905460119248,65.8711929321289,76.01708984375
22,0.0016223368979990482,48.83625793457031,59.132747650146484
23,0.0017255841591395438,44.892982482910156,54.593727111816406
24,0.0015891687013208865,31.322948455810547,37.629886627197266
25,0.001578842019662261,37.92238235473633,45.92757797241211
26,0.0015801668073982,28.321617126464844,33.88811492919922
27,0.0015577088296413423,27.196407318115234,34.0212516784668
28,0.0015199803188443183,28.729257583618164,36.95962905883789
29,0.0015447883773595094,37.108245849609375,45.45964431762695
30,0.0014881132682785393,26.734952926635742,32.61207962036133
31,0.0015135556180030107,33.810401916503906,41.464778900146484
32,0.0015300013264641166,58.481746673583984,67.4882583618164
33,0.0014876475976780058,32.29111862182617,39.78583908081055
34,0.0015256077982485293,40.83849334716797,50.00997543334961
35,0.0014739555306732654,39.16419219970703,48.53997802734375
36,0.001438925825059414,42.48176956176758,51.14137268066406
37,0.0015032538399100304,36.9654541015625,45.01728057861328
38,0.0014711475349031388,24.904884338378906,30.892436981201172
39,0.0014301584055647254,27.872764587402344,34.40837097167969
40,0.0014968371437862516,23.85228729248047,30.078184127807617
41,0.0014084046287462116,23.846139907836914,29.899450302124023
42,0.0014694619132205845,23.718013763427734,29.943387985229492
43,0.0014377830037847162,31.849077224731445,39.30657958984375
44,0.0015017631370574235,23.310348510742188,28.860000610351562
45,0.001444095280021429,24.310922622680664,29.5649471282959
46,0.0014087113551795483,23.723709106445312,29.65850830078125
47,0.0014172054966911673,81.49825286865234,88.73961639404297
48,0.00146431437227875,23.60673713684082,30.00609016418457
49,0.0014197545917704702,28.432653427124023,36.008140563964844
50,0.0014496736275032163,48.80289077758789,57.78077697753906
51,0.0013824331620708107,22.830726623535156,29.254011154174805
52,0.0014447810919955373,27.707523345947266,32.952178955078125
53,0.001456952844746411,40.8078727722168,51.219337463378906
54,0.001429196116514504,43.54140090942383,52.04132843017578
55,0.0014337619068101048,27.703266143798828,32.96504592895508
56,0.0015013406798243523,28.768630981445312,36.44273376464844
57,0.0014762529823929072,48.793617248535156,58.507930755615234
58,0.0014973956253379584,26.011775970458984,31.205459594726562
59,0.0013909218600019813,24.295202255249023,30.939577102661133
60,0.0014404272148385645,31.592348098754883,40.60030746459961
61,0.0014846844598650933,33.77308654785156,39.922489166259766
62,0.0014645702298730612,28.21637535095215,34.998531341552734
63,0.001422047563828528,22.415245056152344,28.631101608276367
64,0.001378128663636744,46.33573913574219,55.2889289855957
65,0.0013801587047055364,24.45954704284668,30.700986862182617
66,0.0013304879423230887,28.751846313476562,35.841392517089844
67,0.0014066973584704102,22.196876525878906,27.708580017089844
68,0.0013929740968160332,25.079360961914062,32.1055793762207
69,0.0013865888072177768,36.2585334777832,45.446739196777344
70,0.0014572162320837378,26.234371185302734,33.886966705322266
71,0.0013681774586439134,43.80011749267578,52.61421203613281
72,0.0014460510574281216,22.14773178100586,28.026081085205078
73,0.0013717982871457935,26.049623489379883,31.144386291503906
74,0.001376950331032276,34.033504486083984,41.10275650024414
75,0.0014138927799649537,52.96398162841797,60.88111114501953
76,0.0014234604546800255,72.38128662109375,78.79443359375
77,0.0014053904544562101,31.718900680541992,39.53513717651367
78,0.0013647166988812387,21.374073028564453,26.26837158203125
79,0.001385406490880996,20.573816299438477,25.910844802856445
80,0.0013776983274146914,33.24502944946289,42.286746978759766
81,0.0013900215784087777,24.800668716430664,31.56178092956543
82,0.0013297469960525633,20.818302154541016,26.343721389770508
83,0.0012312052305787802,21.890817642211914,28.287487030029297
84,0.0013557525398209692,30.14238739013672,36.08064651489258
85,0.0013841226417571307,22.12868881225586,27.938762664794922
86,0.0013690237142145634,28.408260345458984,36.858863830566406
87,0.0013660784671083092,42.987972259521484,51.97596740722656
88,0.001417296165600419,25.223098754882812,31.5439510345459
89,0.0012971804244443774,26.766401290893555,33.858642578125
90,0.001379478992894292,30.5809383392334,39.60696792602539
91,0.0014278501085937022,33.95872497558594,43.36512756347656
92,0.0012537023751065135,24.093521118164062,28.29231071472168
93,0.0013499636622145773,21.658498764038086,26.669384002685547
94,0.0013738011987879872,37.97673416137695,47.74131393432617
95,0.0013918405724689365,44.48469924926758,53.020198822021484
96,0.0012928818259388209,23.533971786499023,30.10881233215332
97,0.0013056737091392278,26.69921112060547,34.43455505371094
98,0.0014657731633633375,31.08891487121582,39.34706497192383
99,0.0013461810676380992,27.405086517333984,34.830570220947266
100,0.0013666307972744107,20.73025894165039,25.743995666503906
101,0.0012827326240949333,35.5612678527832,44.531654357910156
102,0.0013228316232562064,24.53281021118164,31.188417434692383
103,0.0013221910502761603,21.961435317993164,28.2331485748291
104,0.001314207804389298,28.077686309814453,35.1281852722168
105,0.0013073433446697891,23.54637908935547,29.886098861694336
106,0.0013486545719206334,23.443084716796875,29.461807250976562
107,0.00128877445589751,30.036251068115234,39.55427932739258
108,0.0012760397419333458,21.74481201171875,28.010339736938477
109,0.0013143528252840043,26.049381256103516,33.37313461303711
110,0.0013438416551798582,20.146371841430664,25.412099838256836
111,0.0013004519743844867,21.416011810302734,26.032474517822266
112,0.0013331483234651387,43.0322265625,49.60573196411133
113,0.0013023802544921636,22.62333869934082,28.237701416015625
114,0.001266274405643344,23.38991928100586,29.590431213378906
115,0.0013227424561046064,29.996606826782227,39.602046966552734
116,0.001301263675559312,22.13300323486328,28.230392456054688
117,0.001249849523883313,24.59294891357422,31.31751823425293
118,0.0013004732644185423,35.04149627685547,44.20160675048828
119,0.001356962281279266,20.06184959411621,25.38180160522461
120,0.0013364382041618228,21.243322372436523,27.087182998657227
121,0.001382406442426145,24.6174373626709,31.537765502929688
122,0.0013502952829003334,19.55165672302246,24.981082916259766
123,0.0012856627092696726,40.377471923828125,47.82238006591797
124,0.0013141173007898033,34.9273796081543,41.43730545043945
125,0.0013355853268876671,20.01744270324707,25.296443939208984
126,0.0013305528508499266,19.698522567749023,24.989486694335938
127,0.00131974539719522,25.527719497680664,32.54267120361328
128,0.0012920048693194986,47.37062454223633,55.56013488769531
129,0.0013522871723398566,21.040151596069336,26.131441116333008
130,0.00125977564137429,22.557289123535156,28.504802703857422
131,0.0012885121861472726,28.363666534423828,34.79544448852539
132,0.0012115110270678998,21.7891902923584,27.553524017333984
133,0.001347078769467771,21.21238136291504,27.128332138061523
134,0.0013630937016569078,21.350990295410156,26.363468170166016
135,0.0013468662137165665,26.912124633789062,35.07179260253906
136,0.001340996001381427,23.8504638671875,29.471797943115234
137,0.0012666638498194515,20.713071823120117,25.389596939086914
138,0.0012717212736606599,32.212608337402344,41.288211822509766
139,0.0012316011684015394,25.419857025146484,32.6540412902832
140,0.0012994854850694538,21.398822784423828,26.430219650268555
141,0.0013044044119305909,30.500715255737305,40.07149124145508
142,0.0013242545165121555,19.246763229370117,24.545251846313477
143,0.0012837620195932686,20.4984130859375,25.112266540527344
144,0.001287534353323281,30.825210571289062,36.53034210205078
145,0.0013044624170288443,46.99933624267578,55.99546432495117
146,0.001308655496686697,24.36090850830078,29.388429641723633
147,0.0012231363053433596,26.38213539123535,32.169254302978516
148,0.0013144846609793603,36.13311767578125,45.995784759521484
149,0.0012597292638383806,32.98618698120117,42.045841217041016
150,0.0013205033191479743,19.89924430847168,24.938167572021484
151,0.0012852047150954604,23.653409957885742,30.437219619750977
152,0.0013038327917456627,20.488582611083984,25.7094783782959
153,0.0013189030298963189,29.180221557617188,35.0256233215332
154,0.0012617960618808866,41.46431350708008,49.16419219970703
155,0.0012630354892462492,23.1375789642334,28.174440383911133
156,0.001278340546414256,42.988739013671875,52.03229904174805
157,0.0012632136419415475,20.377567291259766,25.651527404785156
158,0.0011895348574034869,24.817529678344727,31.399038314819336
159,0.0012770550861023367,20.529932022094727,25.889507293701172
160,0.0013429490197449923,21.382221221923828,26.086750030517578
161,0.0012656022794544698,29.88902473449707,39.42633819580078
162,0.0013526129024103283,20.508033752441406,25.915054321289062
163,0.0012415958452038466,31.34425163269043,36.83454132080078
164,0.0012985763465985657,39.0772819519043,47.7618408203125
165,0.0012638763966970146,20.249923706054688,25.629413604736328
166,0.0012738959863781928,20.174636840820312,25.0429630279541
167,0.0012036481127142907,30.229446411132812,39.08476638793945
168,0.0012598571553826333,38.31045913696289,47.82304382324219
169,0.001278569910209626,24.420989990234375,30.382543563842773
170,0.001246681318152696,20.746912002563477,26.615005493164062
171,0.0012750434223562479,23.2735652923584,27.78529930114746
172,0.0012231412273831666,19.58991813659668,24.761091232299805
173,0.0012039359635673463,19.124156951904297,24.227619171142578
174,0.001268996694125235,19.484506607055664,24.594881057739258
175,0.0012652954226359725,48.95326232910156,58.31792068481445
176,0.0013099463423714042,24.331562042236328,30.964269638061523
177,0.0012607313692569733,22.25788116455078,27.88376235961914
178,0.001312793525867164,19.258541107177734,24.219831466674805
179,0.0012577507691457867,21.880781173706055,27.63507843017578
180,0.0012687989557161926,22.879287719726562,27.88877296447754
181,0.0012344182073138654,22.3223876953125,28.469846725463867
182,0.0012654515635222197,48.50658416748047,56.09898376464844
183,0.0013010351033881306,26.638511657714844,33.45684051513672
184,0.001232504032086581,20.1431941986084,25.93210792541504
185,0.0012603896716609597,26.63433074951172,34.05628204345703
186,0.0011944760056212544,20.387020111083984,25.571481704711914
187,0.0012865865370258688,26.316923141479492,33.43793487548828
188,0.0012801448162645102,27.496231079101562,36.23912811279297
189,0.0012367696478031577,21.384986877441406,26.881103515625
190,0.0012471531867049635,19.271730422973633,24.387420654296875
191,0.0012290484202094375,20.4763240814209,25.709861755371094
192,0.001214353060349822,25.45148468017578,30.65911293029785
193,0.0012497924733906984,25.626468658447266,33.01853942871094
194,0.0012160565541125834,30.00535774230957,36.060951232910156
195,0.0013197501841932535,26.24010467529297,34.0837516784668
196,0.0012580638565123081,20.921485900878906,25.773820877075195
197,0.0012410531472414731,20.246109008789062,25.285295486450195
198,0.0013051090063527226,19.83466148376465,24.94207000732422
199,0.0011777812498621643,21.867151260375977,26.291122436523438
200,0.0012808901304379105,20.611011505126953,25.494104385375977
201,0.0012523964722640812,22.525217056274414,27.466482162475586
202,0.0012312176264822484,24.25473403930664,31.278982162475586
203,0.0012900058086961507,22.0200252532959,27.942665100097656
204,0.0012456812011078,19.2274169921875,24.291229248046875
205,0.001236127745360136,23.890884399414062,29.405855178833008
206,0.0012858747458085419,24.8912353515625,30.11237335205078
207,0.0012956393999047577,23.624494552612305,28.41030502319336
208,0.001270489702001214,29.353534698486328,37.28071975708008
209,0.0012788552651181817,21.080068588256836,25.75087547302246
210,0.0013395510287955404,44.087459564208984,52.56952667236328
211,0.0012962540914304554,29.422870635986328,36.77766418457031
212,0.0012531700171530247,32.339900970458984,37.35873794555664
213,0.0012361744907684624,26.530061721801758,34.9818115234375
214,0.0012009745393879712,26.702524185180664,36.27846908569336
215,0.0012515310011804103,24.295331954956055,29.955371856689453
216,0.0012624778714962303,22.145273208618164,26.641311645507812
217,0.0012783607095479966,31.046730041503906,38.551937103271484
218,0.0012609807634726166,22.515172958374023,28.502412796020508
219,0.0012124830833636225,26.675006866455078,33.98712921142578
220,0.0011655644630081952,18.556076049804688,23.40003204345703
221,0.0012080233078449964,24.05266761779785,28.59437370300293
222,0.0012136802077293396,19.2198429107666,24.0076847076416
223,0.0012015488441102207,28.056276321411133,37.40996551513672
224,0.0011837593372911214,27.827713012695312,36.055442810058594
225,0.0012418886437080801,26.68061065673828,31.918777465820312
226,0.0011962341796606778,20.096694946289062,26.12574577331543
227,0.001239986876025796,18.963762283325195,23.725332260131836
228,0.0012220549816265702,26.131189346313477,31.240581512451172
229,0.0011861584149301051,42.359718322753906,50.28271484375
230,0.0012675018305890262,28.49400520324707,34.87671661376953
231,0.0012321315146982669,42.87179946899414,50.84054946899414
232,0.0012419977970421314,21.36337661743164,26.98517417907715
233,0.001239746678620577,21.810819625854492,26.523029327392578
234,0.001236141121480614,22.152828216552734,26.873754501342773
235,0.0011540950974449516,20.385507583618164,25.260934829711914
236,0.0012142675183713437,19.214202880859375,24.19940185546875
237,0.001226814070250839,25.984773635864258,33.45188522338867
238,0.0012140547623857856,21.071420669555664,25.686304092407227
239,0.0011809647735208273,22.130409240722656,28.113067626953125
240,0.0012151964171789587,24.29134750366211,30.058931350708008
241,0.0012335537350736559,18.866453170776367,23.614107131958008
242,0.0011628325516358019,19.53472328186035,24.43830108642578
243,0.0012598491413518787,22.66700553894043,29.07936668395996
244,0.0012139224749989808,19.98381996154785,25.132427215576172
245,0.0011818326567299665,36.21017074584961,44.167755126953125
246,0.0012254625698551536,28.637022018432617,33.78472137451172
247,0.0012170679750852288,26.618831634521484,35.38847732543945
248,0.0012099711201153695,19.884878158569336,24.94442367553711
249,0.001228431216441095,21.112091064453125,27.14867401123047
250,0.0011900640930980445,22.736021041870117,28.463895797729492
251,0.0011930588190443815,23.524330139160156,30.52573013305664
252,0.001167519437149167,19.364307403564453,24.258838653564453
253,0.001182635147124529,24.426523208618164,31.724809646606445
254,0.0011682580062188207,18.49788475036621,24.49504280090332
255,0.001177602419629693,19.02670669555664,24.32551383972168
256,0.0012322597857564689,21.93012046813965,28.063621520996094
257,0.0012062701769173145,21.1920166015625,27.089675903320312
258,0.0012018378591164946,23.61431884765625,30.6053409576416
